Group,Mn,Fe,Ca,Mg,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,P
Granite,6.183917084,20.00337145,0.466771938,0.298639247,879.8437413,0,0,0.002566186,0.127782283,1.345849506,0.032918352,11.8340108,8.458115085,108.5025283,31.22767665,128.3920668,33.52490886,374.0575018,62.4648783,248.4025184
Granite,6.073896983,19.38847407,0.478270268,0.305376351,952.349916,0,0.008686545,0.002385859,0.06301348,1.128002137,0,12.62226201,8.509465289,119.8525806,35.85067914,146.0753237,32.13652686,314.0696171,51.39090462,217.2247294
Granite,5.774860342,20.38971687,0.469643656,0.286976834,513.2317023,0,0.003050366,0.002512909,0.033171382,1.108193805,0.016112963,10.94963717,6.475768687,69.04248322,17.59037715,68.23866305,16.20308019,172.5282897,28.81971564,325.8243668
Granite,5.521842811,19.63938718,0.382802392,0.248060921,329.1422487,0,0.003034976,0,0.033045287,0.166908451,0.005336933,3.194270821,2.717987183,41.34198173,13.27201282,50.82973949,9.215925368,74.77068256,11.86330547,145.6452168
Granite,5.185186123,18.39897861,0.399623542,0.292566427,449.787746,0,0.005769113,0,0.031485071,0.44170988,0.005074603,6.812435632,4.834131961,62.58348829,15.36912106,47.45292732,7.880347014,56.80188134,7.543258513,199.3166023
Granite,5.488765701,18.13303271,0.459074339,0.277818929,732.4765714,0,0,0,0,0.933619388,0.026237853,11.7203774,8.067118599,96.1787184,23.97092375,83.05754143,15.83238696,134.399128,19.39228362,291.2200386
Granite,5.606199521,17.39004097,0.554783818,0.299557291,685.4812094,0.006173066,0.026267545,0.004838469,0.16006614,0.929875494,0.020555664,11.68703399,7.978509025,89.9921836,21.13438832,67.50964505,13.21795006,111.9487518,14.860199,324.3051943
Granite,5.967003328,18.20471729,0.525142599,0.232841132,660.4462594,0.010936038,0.003043013,0.00757823,0.13383568,1.013666606,0.005360229,13.20255356,8.114807656,89.00138718,20.19959233,66.56637033,13.21962643,109.7600255,14.59405446,330.8477875
Granite,5.799921456,19.16748565,0.421147103,0.265662266,605.9157025,0,0,0,0.034675682,0.331613426,0,8.778433161,6.167349594,83.27185125,21.98503349,69.20379069,12.31402502,95.42687689,13.60457274,174.4383461
Granite,5.484309659,18.44603785,0.407487022,0.293924838,253.9498283,0,0,0.086986158,0.032111507,0.271127353,0,3.670148334,2.732721958,32.72407026,7.699708297,21.48188122,3.623326196,25.54672487,3.019298654,111.7996529
Granite,5.939418794,19.59986279,0.438620052,0.310589187,69.14662706,0.00366295,0,0.174678772,0.033606435,0.454278341,0.005334857,4.181099226,1.93393784,12.362486,1.609479986,3.472527622,0.502973768,4.137654967,0.514483642,135.1064868
Granite,5.504471966,20.40401456,0.478749202,0.481684445,760.9031834,0,0.003167492,0.005305106,0.0344136,0.720921435,0.022345126,9.711296626,7.071688227,98.87644761,29.55456945,115.2242441,22.14291622,182.2305255,26.00944146,225.8537592
Granite,5.636930489,20.74867719,0.559544085,0.468820325,755.6559154,0,0,0.0026291,0,0.405833013,0,9.137858111,6.198730258,94.26281208,33.3806144,159.1361562,39.26275089,403.5948316,75.87672586,146.9861267
Granite,5.444369573,20.07367961,0.525306764,0.481417976,665.7913022,0.007264532,0,0,0.032998758,0.749210776,0.005363608,9.227851574,6.36166176,87.86043453,24.6720177,97.38114027,19.99581449,174.3988315,24.59963623,146.7357277
Granite,5.412732099,20.22962739,0.534504655,0.45449377,526.3810537,0,0,0,0,0.213501704,0.005554752,7.455092506,5.390052658,71.39429962,19.78667176,66.21959013,11.65313441,88.50509174,11.97049414,130.2327972
Granite,6.159554599,20.4943477,0.529268853,0.491792572,621.3680504,0.007612601,0.038009887,0.008009962,0.034542668,0.905262787,0.022501741,8.675517963,6.620951299,81.23644714,19.88625777,63.43276071,10.86786508,79.80562456,8.311307119,142.8809195
Granite,5.83811842,20.35372104,0.621574108,0.580298933,591.4107197,0.11717651,0.19775788,0.007473712,0.064424496,0.698228732,0.010498545,10.09839695,7.293764072,86.77590498,19.11418565,51.26466935,7.680965166,49.38397733,4.760017073,163.3607259
Granite,5.722416365,21.09560506,0.522605708,0.541314647,608.7257481,0.034018468,0.119267279,0.010609883,0,0.646028341,0.011178963,9.704903452,7.034853599,87.47641474,22.9838363,71.67109824,12.17435112,95.4045313,11.61340942,157.7544671
Granite,6.517567215,20.34709575,0.507207667,0.468017996,861.3967156,0,0,0.00523526,0.135237055,0.966625869,0.016549588,10.20455552,7.019578315,98.60742639,31.68951316,151.5324321,38.28742771,400.3748132,69.96303863,292.593107
Granite,6.346975166,20.53178741,0.647888001,0.489652307,995.2527125,0.017957281,0.050585965,0.005042543,0.09764062,1.192522506,0.01062781,12.94242819,8.91255416,120.434456,37.64951589,151.738285,34.7126034,331.0282073,48.89023768,198.6843915
Granite,5.799274693,20.98872602,0.558001016,0.48890881,569.2688638,0,0.009686861,0,0,0.445687157,0.011548337,8.280252743,6.16446274,78.05085719,21.35337393,70.34897668,12.24105999,94.02718439,13.08589112,176.4176915
Granite,5.839934881,20.57764717,0.541562102,0.511794145,843.5463703,0.011101234,0.094837191,0.020790174,0.100532526,0.612433804,0.027390812,10.81437587,7.278136747,106.0224764,35.16347813,159.6943743,39.11529539,390.8288941,67.3037313,155.2552372
Granite,6.001136624,21.41302631,0.558980553,0.499520712,451.4302597,0.004003472,0,0,0.036242766,0.333176303,0,6.733113832,4.897514899,63.83037491,18.59120807,62.90353436,10.25144784,77.61603875,10.76315302,154.225729
Pegmatite,5.660251593,21.80702898,0.379318023,0.314349966,219.9412992,0,0.003118358,0,0.033517609,0.411823533,0.010669534,6.667536733,3.832625302,37.15424664,7.040584481,17.77637034,2.921658475,22.13406773,2.629150148,211.8379994
Pegmatite,5.612471653,21.22222901,0.435547106,0.317764948,245.3812733,0,0.002973052,0.033784599,0.03195944,1.052958103,0.03561265,9.076988489,4.759163935,39.89190644,7.046430018,18.42008321,3.217494475,23.64498571,2.644885499,237.7910453
Pegmatite,5.602686169,21.06973302,0.439725849,0.325641888,258.1318837,0,0.002817754,0,0.030293488,0.997930981,0.014469127,11.06485803,5.450161416,42.42793251,7.456845157,21.57146463,4.000809639,32.24611988,4.12088278,195.0005955
Pegmatite,6.003049454,21.09898725,0.3645832,0.305037162,680.8683295,0,0,0.002227137,0.029463452,0.576207432,0.004698174,8.078100829,6.202220269,81.28015191,25.08151997,105.2163379,24.43148748,229.1012223,37.56235653,259.5492211
Pegmatite,5.95536131,21.05378187,0.366033086,0.346400186,690.1509732,0,0,0,0.030481592,0.629532016,0.019417747,8.544651881,5.998314105,82.2208837,25.07521329,104.9015481,23.90459618,231.3723357,38.20545852,296.9362419
Pegmatite,6.268729736,21.4894485,0.386074991,0.357026146,731.7381825,0,0.003063603,0,0.032940364,0.680407413,0.010490468,8.693475112,6.719211366,90.98242063,26.81937671,111.796835,25.88825797,254.0324341,42.45887767,282.2167427
Pegmatite,5.393891058,19.55695557,0.344821919,0.270773798,515.0078102,0,0,0,0,0.236441984,0.017991672,3.437439249,2.931159529,50.30810695,18.19315315,84.3787703,21.67754103,219.0653003,34.4279267,183.8123387
Pegmatite,5.50856467,21.58268213,0.349287359,0.278484264,540.4514763,0,0,0,0.060237115,0.09461313,0.009615989,3.000935621,2.961287127,50.58286332,18.15471097,85.9224975,21.86050042,223.280625,34.7853149,200.4501059
Pegmatite,5.493464972,21.90116204,0.33632635,0.273301229,503.8430607,0,0,0,0,0.153239822,0.024294332,2.506068875,2.751293833,46.10560584,16.9177884,78.09419701,20.27118892,208.2864361,30.94154724,234.7390441
Pegmatite,5.197979251,18.02075029,0.30978428,0.284973609,531.3392318,0,0.002569957,0,0,0.647310842,0.00439699,3.175461257,3.112801266,53.47671995,20.479371,100.7077386,25.94158916,271.9521401,48.62941253,220.8995148
Pegmatite,5.385022544,19.70286161,0.323967161,0.307693569,555.7467321,0,0,0,0.029619655,0.04979849,0.009472732,3.78519295,3.396230295,56.33737522,21.27118894,101.0712527,25.88560528,266.7032885,46.77784918,226.529028
Pegmatite,5.180587144,21.39861446,0.314605755,0.289340373,497.7307839,0,0,0,0,0.149286432,0.023665307,3.252383571,3.217105865,50.54258237,18.77927082,86.67044768,22.03512141,214.0378674,37.58380121,178.3125473
Pegmatite,5.97833704,20.89769866,0.341894466,0.323983172,692.3327443,0,0,0.004517662,0,0.4981625,0.014213246,7.298444023,5.447742412,77.96682871,24.47515707,104.3745554,24.66028976,233.7799477,39.06334627,298.010471
Pegmatite,5.881735008,20.70166385,0.324783182,0.318699488,683.0363775,0,0,0,0,0.344945723,0.023432011,6.970161859,5.484547,77.90932267,24.34513205,104.5219343,23.84949464,223.5883481,36.6986637,288.8431881
Pegmatite,5.912240151,20.75499515,0.333491593,0.324126305,666.4023747,0,0.005455124,0,0,0.359690547,0.013993343,6.738306239,5.014128046,74.15258896,24.14189026,104.9819791,25.08126138,241.0864442,39.68810654,304.9749403
Pegmatite,5.689905526,21.84400427,0.338828508,0.229325255,157.1148266,0,0.002923813,0.002384935,0.031383113,0.928358494,0.005003376,6.621619819,7.740991291,22.42801427,3.886827527,12.48939853,2.437816252,23.06233665,3.489380908,320.9623275
Pegmatite,5.170195456,20.89890617,0.35398399,0.250366846,193.0194386,0,0,0,0,0.86656779,0.004851812,7.25165121,3.130591043,27.03247221,5.152548095,16.39633742,3.440091408,31.88617488,4.951425595,280.2811647
Pegmatite,5.281912195,22.40155966,0.314147318,0.314903956,115.3035287,0,0.003110349,0,0,0.707621483,0,6.464476756,3.410666984,21.85213347,3.295274852,7.11264047,1.220365792,9.978335136,1.324149702,320.7077584
Pegmatite,5.352719182,21.25681307,0.318437121,0.313775496,164.6901932,0,0,0,0,0.821627271,0.004995178,9.883858254,4.946180464,32.06410347,4.644739174,10.47702734,1.592970101,12.03749169,1.476289944,272.5820258
Pegmatite,5.872527587,20.90323978,0.311699738,0.261854338,82.31943413,0,0,0.004694027,0.030899581,1.06739553,0,8.722488769,3.252970335,15.86258603,1.879084565,4.294992894,0.844020902,5.538718876,0.689333168,277.8803699
Pegmatite,5.68590769,21.99066377,0.336287981,0.356994997,43.90634188,0,0,0.002533457,0.166812463,0.464300317,0.005310489,3.665390868,1.383964814,8.397610877,1.130901757,2.680364927,0.411545884,3.078421518,0.325743483,252.8997667
Pegmatite,6.070527184,20.67565549,0.350350404,0.292832696,547.3376471,0.003293193,2.395898768,0.002324563,0.153095975,1.243212683,0.004871261,13.14598844,8.028464711,81.97425044,17.30463854,56.17914961,10.4154357,93.54825967,12.25517919,388.6756085
Pegmatite,6.297913996,20.10937594,0.34675708,0.259166225,533.9154396,0,0.005451697,0.002230919,0.029392957,1.617090314,0,12.74704147,8.145976952,80.41515459,16.304549,49.79564804,9.409599921,76.89748422,9.317559646,417.5396125
Pegmatite,6.526960392,19.54967605,0.463788732,0.259390185,545.3534955,0,0,0,0.204097317,1.359870433,0,12.90108369,7.854895036,82.08087815,17.13824818,53.53796993,9.915728185,82.62036936,10.74679241,475.2927003
Pegmatite,6.248833335,19.90041725,0.350351575,0.250294686,512.7207017,0,0,0.00444179,0,1.542880422,0.009300332,12.20966783,7.718134172,77.5950247,16.20161477,50.08244659,9.589992748,78.84780586,10.03192179,454.4958121
Pegmatite,5.464042613,20.84938691,0.259412196,0.162887406,333.0091147,0,0,0.004850926,0,0.936489585,0.005116567,14.89951573,8.123909184,62.15368817,8.582899073,16.97742518,2.282403436,13.2553339,1.327382564,523.6246837
Pegmatite,5.489797826,19.46552989,0.243382522,0.165435092,377.5988618,0,0,0,0,0.46781464,0.004662545,7.297657058,5.303574833,54.1588931,10.70855258,30.12923868,5.97076101,45.582228,6.175780566,629.0720629
Pegmatite,5.432122889,20.05437932,0.309717367,0.176625879,387.3331217,0,0.002875976,0.00472537,0.185008798,0.620017077,0,11.92004299,6.660883696,58.10795027,11.94714403,38.43933479,7.995472567,73.64622682,11.43671836,259.3579344
Pegmatite,5.507728141,20.85755068,0.312686528,0.183618362,528.447822,0,0.00300086,0.002462603,0.064336394,1.016930837,0,10.50300867,7.126130475,74.08585446,18.29676492,65.89415627,14.60247659,144.8812542,23.3760551,457.7614329
Pegmatite,5.804383383,20.23048169,0.345070227,0.151858654,1008.331953,0.039564307,0.346866077,0.130372277,1.310057927,6.311856797,0.034375902,31.64605548,16.97828842,145.8645351,26.6610846,74.16315507,13.40638635,107.4544977,14.06409202,636.8009185
Pegmatite,6.930432875,19.6659295,0.398010054,0.179309985,913.9323463,0.003614485,0.003119638,0.012758841,0.300817959,1.864662852,0.005382729,14.50209534,9.312679123,111.9475573,31.96490301,139.6369702,36.51314598,415.5189733,74.93119083,318.5382269
